DUTCH,
lachen,
wassen,
afwassen,
bakken,
barsten,
raden,
scheiden,
hoeven,
vouwen,
opvouwen,
brengen,
denken,
nadenken,
kopen,
verkopen,
zoeken,
bezoeken,
onderzoeken,
uitzoeken,
vragen,
zeggen,
